Country,YearsCodePro,YearsCodeProCount
Afghanistan,0-2 years,16.0
Afghanistan,15-17 years,1.0
Afghanistan,18-20 years,1.0
Afghanistan,3-5 years,6.0
Afghanistan,6-8 years,2.0
Afghanistan,9-11 years,1.0
Afghanistan,> 20 years,7.0
Albania,0-2 years,51.0
Albania,12-14 years,1.0
Albania,15-17 years,1.0
Albania,3-5 years,20.0
Albania,6-8 years,6.0
Albania,9-11 years,2.0
Algeria,0-2 years,42.0
Algeria,15-17 years,1.0
Algeria,18-20 years,1.0
Algeria,3-5 years,16.0
Algeria,6-8 years,12.0
Algeria,9-11 years,3.0
Algeria,> 20 years,2.0
Andorra,12-14 years,1.0
Andorra,15-17 years,1.0
Andorra,3-5 years,2.0
Andorra,> 20 years,4.0
Angola,0-2 years,5.0
Antigua and Barbuda,0-2 years,1.0
Antigua and Barbuda,3-5 years,1.0
Antigua and Barbuda,6-8 years,1.0
Argentina,0-2 years,119.0
Argentina,12-14 years,50.0
Argentina,15-17 years,25.0
Argentina,18-20 years,16.0
Argentina,3-5 years,118.0
Argentina,6-8 years,82.0
Argentina,9-11 years,60.0
Argentina,> 20 years,21.0
Armenia,0-2 years,32.0
Armenia,12-14 years,2.0
Armenia,3-5 years,27.0
Armenia,6-8 years,15.0
Armenia,9-11 years,6.0
Armenia,> 20 years,2.0
Australia,0-2 years,356.0
Australia,12-14 years,159.0
Australia,15-17 years,110.0
Australia,18-20 years,89.0
Australia,3-5 years,330.0
Australia,6-8 years,251.0
Australia,9-11 years,229.0
Australia,> 20 years,164.0
Austria,0-2 years,168.0
Austria,12-14 years,34.0
Austria,15-17 years,40.0
Austria,18-20 years,29.0
Austria,3-5 years,168.0
Austria,6-8 years,96.0
Austria,9-11 years,87.0
Austria,> 20 years,30.0
Azerbaijan,0-2 years,25.0
Azerbaijan,12-14 years,3.0
Azerbaijan,15-17 years,3.0
Azerbaijan,18-20 years,1.0
Azerbaijan,3-5 years,17.0
Azerbaijan,6-8 years,6.0
Azerbaijan,9-11 years,4.0
Azerbaijan,> 20 years,1.0
Bahamas,6-8 years,2.0
Bahamas,> 20 years,1.0
Bahrain,0-2 years,3.0
Bahrain,12-14 years,1.0
Bahrain,15-17 years,1.0
Bahrain,18-20 years,1.0
Bahrain,6-8 years,4.0
Bahrain,9-11 years,1.0
Bangladesh,0-2 years,228.0
Bangladesh,12-14 years,4.0
Bangladesh,18-20 years,1.0
Bangladesh,3-5 years,193.0
Bangladesh,6-8 years,58.0
Bangladesh,9-11 years,27.0
Bangladesh,> 20 years,6.0
Barbados,0-2 years,1.0
Barbados,15-17 years,1.0
Barbados,3-5 years,1.0
Belarus,0-2 years,93.0
Belarus,12-14 years,14.0
Belarus,15-17 years,8.0
Belarus,18-20 years,1.0
Belarus,3-5 years,69.0
Belarus,6-8 years,43.0
Belarus,9-11 years,22.0
Belarus,> 20 years,3.0
Belgium,0-2 years,193.0
Belgium,12-14 years,34.0
Belgium,15-17 years,31.0
Belgium,18-20 years,26.0
Belgium,3-5 years,150.0
Belgium,6-8 years,80.0
Belgium,9-11 years,58.0
Belgium,> 20 years,33.0
Belize,0-2 years,1.0
Benin,0-2 years,4.0
Benin,15-17 years,1.0
Benin,3-5 years,1.0
Bhutan,0-2 years,3.0
Bhutan,3-5 years,1.0
Bolivia,0-2 years,14.0
Bolivia,15-17 years,1.0
Bolivia,3-5 years,5.0
Bolivia,6-8 years,6.0
Bolivia,9-11 years,4.0
Bosnia and Herzegovina,0-2 years,41.0
Bosnia and Herzegovina,12-14 years,6.0
Bosnia and Herzegovina,15-17 years,2.0
Bosnia and Herzegovina,3-5 years,35.0
Bosnia and Herzegovina,6-8 years,12.0
Bosnia and Herzegovina,9-11 years,8.0
Botswana,0-2 years,1.0
Botswana,3-5 years,1.0
Botswana,> 20 years,1.0
Brazil,0-2 years,533.0
Brazil,12-14 years,125.0
Brazil,15-17 years,83.0
Brazil,18-20 years,53.0
Brazil,3-5 years,535.0
Brazil,6-8 years,325.0
Brazil,9-11 years,235.0
Brazil,> 20 years,70.0
Brunei Darussalam,6-8 years,1.0
Bulgaria,0-2 years,102.0
Bulgaria,12-14 years,21.0
Bulgaria,15-17 years,7.0
Bulgaria,18-20 years,12.0
Bulgaria,3-5 years,94.0
Bulgaria,6-8 years,56.0
Bulgaria,9-11 years,54.0
Bulgaria,> 20 years,7.0
Burkina Faso,3-5 years,1.0
Burundi,3-5 years,1.0
Cambodia,0-2 years,17.0
Cambodia,12-14 years,1.0
Cambodia,3-5 years,10.0
Cambodia,6-8 years,3.0
Cambodia,9-11 years,3.0
Cambodia,> 20 years,1.0
Cameroon,0-2 years,15.0
Cameroon,3-5 years,7.0
Cameroon,6-8 years,2.0
Cameroon,9-11 years,1.0
Canada,0-2 years,721.0
Canada,12-14 years,188.0
Canada,15-17 years,151.0
Canada,18-20 years,146.0
Canada,3-5 years,695.0
Canada,6-8 years,382.0
Canada,9-11 years,282.0
Canada,> 20 years,219.0
Cape Verde,0-2 years,1.0
Central African Republic,0-2 years,1.0
Chile,0-2 years,54.0
Chile,12-14 years,8.0
Chile,15-17 years,4.0
Chile,18-20 years,6.0
Chile,3-5 years,43.0
Chile,6-8 years,26.0
Chile,9-11 years,18.0
Chile,> 20 years,7.0
China,0-2 years,243.0
China,12-14 years,22.0
China,15-17 years,10.0
China,18-20 years,3.0
China,3-5 years,221.0
China,6-8 years,67.0
China,9-11 years,47.0
China,> 20 years,2.0
Colombia,0-2 years,91.0
Colombia,12-14 years,12.0
Colombia,15-17 years,11.0
Colombia,18-20 years,3.0
Colombia,3-5 years,89.0
Colombia,6-8 years,50.0
Colombia,9-11 years,22.0
Colombia,> 20 years,2.0
"Congo, Republic of the...",0-2 years,3.0
"Congo, Republic of the...",3-5 years,2.0
Costa Rica,0-2 years,32.0
Costa Rica,12-14 years,4.0
Costa Rica,15-17 years,2.0
Costa Rica,18-20 years,1.0
Costa Rica,3-5 years,19.0
Costa Rica,6-8 years,9.0
Costa Rica,9-11 years,11.0
Costa Rica,> 20 years,3.0
Croatia,0-2 years,63.0
Croatia,12-14 years,2.0
Croatia,15-17 years,11.0
Croatia,18-20 years,6.0
Croatia,3-5 years,57.0
Croatia,6-8 years,20.0
Croatia,9-11 years,29.0
Croatia,> 20 years,9.0
Cuba,0-2 years,15.0
Cuba,12-14 years,2.0
Cuba,15-17 years,2.0
Cuba,3-5 years,23.0
Cuba,6-8 years,5.0
