Country,YearsCodePro,YearsCodeProCount
Afghanistan,0-2 years,13.0
Afghanistan,15-17 years,5.0
Afghanistan,18-20 years,1.0
Afghanistan,3-5 years,3.0
Afghanistan,6-8 years,2.0
Afghanistan,9-11 years,1.0
Afghanistan,> 20 years,3.0
Albania,0-2 years,30.0
Albania,12-14 years,2.0
Albania,18-20 years,1.0
Albania,3-5 years,27.0
Albania,6-8 years,6.0
Albania,9-11 years,3.0
Albania,> 20 years,2.0
Algeria,0-2 years,28.0
Algeria,12-14 years,2.0
Algeria,15-17 years,2.0
Algeria,18-20 years,1.0
Algeria,3-5 years,20.0
Algeria,6-8 years,8.0
Algeria,9-11 years,4.0
Algeria,> 20 years,2.0
Andorra,0-2 years,2.0
Andorra,12-14 years,1.0
Andorra,6-8 years,1.0
Andorra,> 20 years,1.0
Angola,0-2 years,2.0
Antigua and Barbuda,0-2 years,1.0
Antigua and Barbuda,12-14 years,1.0
Antigua and Barbuda,15-17 years,1.0
Antigua and Barbuda,6-8 years,2.0
Argentina,0-2 years,89.0
Argentina,12-14 years,32.0
Argentina,15-17 years,38.0
Argentina,18-20 years,38.0
Argentina,3-5 years,134.0
Argentina,6-8 years,66.0
Argentina,9-11 years,67.0
Argentina,> 20 years,25.0
Armenia,0-2 years,16.0
Armenia,12-14 years,1.0
Armenia,15-17 years,1.0
Armenia,18-20 years,1.0
Armenia,3-5 years,37.0
Armenia,6-8 years,13.0
Armenia,9-11 years,4.0
Armenia,> 20 years,1.0
Australia,0-2 years,234.0
Australia,12-14 years,150.0
Australia,15-17 years,131.0
Australia,18-20 years,156.0
Australia,3-5 years,352.0
Australia,6-8 years,210.0
Australia,9-11 years,224.0
Australia,> 20 years,206.0
Austria,0-2 years,126.0
Austria,12-14 years,51.0
Austria,15-17 years,40.0
Austria,18-20 years,42.0
Austria,3-5 years,172.0
Austria,6-8 years,113.0
Austria,9-11 years,91.0
Austria,> 20 years,38.0
Azerbaijan,0-2 years,10.0
Azerbaijan,12-14 years,3.0
Azerbaijan,15-17 years,1.0
Azerbaijan,3-5 years,13.0
Azerbaijan,6-8 years,4.0
Azerbaijan,9-11 years,2.0
Azerbaijan,> 20 years,2.0
Bahamas,0-2 years,1.0
Bahrain,0-2 years,3.0
Bahrain,15-17 years,1.0
Bahrain,3-5 years,6.0
Bahrain,6-8 years,2.0
Bahrain,9-11 years,1.0
Bahrain,> 20 years,1.0
Bangladesh,0-2 years,145.0
Bangladesh,12-14 years,11.0
Bangladesh,15-17 years,1.0
Bangladesh,18-20 years,2.0
Bangladesh,3-5 years,172.0
Bangladesh,6-8 years,68.0
Bangladesh,9-11 years,30.0
Bangladesh,> 20 years,5.0
Barbados,3-5 years,2.0
Belarus,0-2 years,51.0
Belarus,12-14 years,15.0
Belarus,15-17 years,6.0
Belarus,18-20 years,4.0
Belarus,3-5 years,47.0
Belarus,6-8 years,34.0
Belarus,9-11 years,16.0
Belarus,> 20 years,6.0
Belgium,0-2 years,150.0
Belgium,12-14 years,36.0
Belgium,15-17 years,26.0
Belgium,18-20 years,43.0
Belgium,3-5 years,170.0
Belgium,6-8 years,91.0
Belgium,9-11 years,62.0
Belgium,> 20 years,44.0
Belize,0-2 years,2.0
Belize,3-5 years,1.0
Benin,18-20 years,1.0
Benin,6-8 years,1.0
Bhutan,0-2 years,1.0
Bolivia,0-2 years,5.0
Bolivia,12-14 years,5.0
Bolivia,15-17 years,2.0
Bolivia,3-5 years,12.0
Bolivia,6-8 years,4.0
Bolivia,9-11 years,2.0
Bolivia,> 20 years,1.0
Bosnia and Herzegovina,0-2 years,26.0
Bosnia and Herzegovina,12-14 years,3.0
Bosnia and Herzegovina,15-17 years,3.0
Bosnia and Herzegovina,3-5 years,32.0
Bosnia and Herzegovina,6-8 years,15.0
Bosnia and Herzegovina,9-11 years,3.0
Bosnia and Herzegovina,> 20 years,3.0
Botswana,3-5 years,3.0
Brazil,0-2 years,364.0
Brazil,12-14 years,120.0
Brazil,15-17 years,96.0
Brazil,18-20 years,102.0
Brazil,3-5 years,414.0
Brazil,6-8 years,305.0
Brazil,9-11 years,212.0
Brazil,> 20 years,112.0
Brunei Darussalam,0-2 years,1.0
Bulgaria,0-2 years,134.0
Bulgaria,12-14 years,48.0
Bulgaria,15-17 years,26.0
Bulgaria,18-20 years,26.0
Bulgaria,3-5 years,149.0
Bulgaria,6-8 years,85.0
Bulgaria,9-11 years,66.0
Bulgaria,> 20 years,20.0
Burkina Faso,0-2 years,2.0
Burkina Faso,3-5 years,1.0
Burundi,0-2 years,1.0
Burundi,3-5 years,2.0
Cambodia,0-2 years,10.0
Cambodia,18-20 years,2.0
Cambodia,3-5 years,5.0
Cambodia,6-8 years,2.0
Cambodia,> 20 years,2.0
Cameroon,0-2 years,19.0
Cameroon,3-5 years,12.0
Cameroon,6-8 years,5.0
Canada,0-2 years,547.0
Canada,12-14 years,205.0
Canada,15-17 years,151.0
Canada,18-20 years,215.0
Canada,3-5 years,710.0
Canada,6-8 years,411.0
Canada,9-11 years,321.0
Canada,> 20 years,308.0
Cape Verde,3-5 years,2.0
Chad,3-5 years,1.0
Chile,0-2 years,46.0
Chile,12-14 years,12.0
Chile,15-17 years,5.0
Chile,18-20 years,8.0
Chile,3-5 years,48.0
Chile,6-8 years,29.0
Chile,9-11 years,17.0
Chile,> 20 years,10.0
China,0-2 years,170.0
China,12-14 years,17.0
China,15-17 years,10.0
China,18-20 years,9.0
China,3-5 years,180.0
China,6-8 years,61.0
China,9-11 years,39.0
China,> 20 years,12.0
