Country,YearsCodePro,YearsCodeProCount
Cuba,0-2 years,7.0
Cuba,12-14 years,2.0
Cuba,18-20 years,1.0
Cuba,3-5 years,5.0
Cuba,6-8 years,4.0
Cuba,9-11 years,6.0
Cuba,> 20 years,1.0
Cyprus,0-2 years,12.0
Cyprus,12-14 years,3.0
Cyprus,15-17 years,1.0
Cyprus,18-20 years,3.0
Cyprus,3-5 years,18.0
Cyprus,6-8 years,7.0
Cyprus,9-11 years,8.0
Cyprus,> 20 years,2.0
Czech Republic,0-2 years,91.0
Czech Republic,12-14 years,52.0
Czech Republic,15-17 years,37.0
Czech Republic,18-20 years,37.0
Czech Republic,3-5 years,190.0
Czech Republic,6-8 years,125.0
Czech Republic,9-11 years,81.0
Czech Republic,> 20 years,22.0
C̫te d'Ivoire,0-2 years,4.0
C̫te d'Ivoire,18-20 years,1.0
C̫te d'Ivoire,3-5 years,17.0
C̫te d'Ivoire,6-8 years,6.0
C̫te d'Ivoire,9-11 years,1.0
Democratic People's Republic of Korea,0-2 years,1.0
Democratic People's Republic of Korea,15-17 years,1.0
Democratic People's Republic of Korea,> 20 years,1.0
Democratic Republic of the Congo,3-5 years,1.0
Democratic Republic of the Congo,6-8 years,3.0
Democratic Republic of the Congo,9-11 years,1.0
Denmark,0-2 years,98.0
Denmark,12-14 years,39.0
Denmark,15-17 years,23.0
Denmark,18-20 years,40.0
Denmark,3-5 years,145.0
Denmark,6-8 years,68.0
Denmark,9-11 years,54.0
Denmark,> 20 years,62.0
Djibouti,3-5 years,1.0
Dominica,6-8 years,1.0
Dominican Republic,0-2 years,20.0
Dominican Republic,12-14 years,6.0
Dominican Republic,15-17 years,1.0
Dominican Republic,18-20 years,2.0
Dominican Republic,3-5 years,24.0
Dominican Republic,6-8 years,16.0
Dominican Republic,9-11 years,8.0
Dominican Republic,> 20 years,3.0
Ecuador,0-2 years,18.0
Ecuador,12-14 years,3.0
Ecuador,15-17 years,3.0
Ecuador,18-20 years,6.0
Ecuador,3-5 years,17.0
Ecuador,6-8 years,11.0
Ecuador,9-11 years,9.0
Ecuador,> 20 years,6.0
Egypt,0-2 years,83.0
Egypt,12-14 years,7.0
Egypt,15-17 years,4.0
Egypt,18-20 years,5.0
Egypt,3-5 years,75.0
Egypt,6-8 years,24.0
Egypt,9-11 years,16.0
Egypt,> 20 years,2.0
El Salvador,0-2 years,14.0
El Salvador,12-14 years,1.0
El Salvador,15-17 years,1.0
El Salvador,18-20 years,3.0
