Country,YearsCodePro,YearsCodeProCount
Afghanistan,0-2 years,11.0
Afghanistan,15-17 years,2.0
Afghanistan,18-20 years,3.0
Afghanistan,3-5 years,9.0
Afghanistan,9-11 years,2.0
Afghanistan,> 20 years,6.0
Aland Islands,0-2 years,4.0
Aland Islands,3-5 years,5.0
Aland Islands,9-11 years,1.0
Aland Islands,> 20 years,1.0
Albania,0-2 years,16.0
Albania,12-14 years,2.0
Albania,3-5 years,22.0
Albania,6-8 years,5.0
Albania,9-11 years,2.0
Algeria,0-2 years,7.0
Algeria,12-14 years,1.0
Algeria,3-5 years,9.0
Algeria,6-8 years,1.0
Algeria,9-11 years,1.0
Algeria,> 20 years,2.0
American Samoa,> 20 years,1.0
Andorra,3-5 years,1.0
Andorra,9-11 years,2.0
Angola,3-5 years,3.0
Angola,> 20 years,1.0
Anguilla,0-2 years,1.0
Antarctica,0-2 years,1.0
Antarctica,12-14 years,2.0
Antarctica,3-5 years,1.0
Antarctica,> 20 years,1.0
Antigua and Barbuda,0-2 years,1.0
Argentina,0-2 years,33.0
Argentina,12-14 years,18.0
Argentina,15-17 years,14.0
Argentina,18-20 years,4.0
Argentina,3-5 years,82.0
Argentina,6-8 years,19.0
Argentina,9-11 years,34.0
Argentina,> 20 years,12.0
Armenia,0-2 years,9.0
Armenia,15-17 years,1.0
Armenia,3-5 years,19.0
Armenia,6-8 years,6.0
Armenia,9-11 years,3.0
Aruba,9-11 years,1.0
Australia,0-2 years,115.0
Australia,12-14 years,68.0
Australia,15-17 years,74.0
Australia,18-20 years,20.0
Australia,3-5 years,194.0
Australia,6-8 years,84.0
Australia,9-11 years,104.0
Australia,> 20 years,93.0
Austria,0-2 years,66.0
Austria,12-14 years,16.0
Austria,15-17 years,17.0
Austria,18-20 years,8.0
Austria,3-5 years,158.0
Austria,6-8 years,58.0
Austria,9-11 years,41.0
Austria,> 20 years,20.0
Azerbaidjan,0-2 years,4.0
Azerbaidjan,18-20 years,1.0
Azerbaidjan,3-5 years,6.0
Azerbaidjan,6-8 years,3.0
Azerbaidjan,9-11 years,2.0
Azerbaidjan,> 20 years,1.0
Bahrain,0-2 years,4.0
Bahrain,3-5 years,3.0
Bahrain,6-8 years,1.0
Bahrain,9-11 years,3.0
Bangladesh,0-2 years,50.0
Bangladesh,3-5 years,60.0
Bangladesh,6-8 years,14.0
Bangladesh,9-11 years,3.0
Bangladesh,> 20 years,2.0
Barbados,0-2 years,1.0
Barbados,12-14 years,1.0
Barbados,6-8 years,1.0
Belarus,0-2 years,15.0
Belarus,12-14 years,3.0
Belarus,15-17 years,1.0
Belarus,3-5 years,37.0
Belarus,6-8 years,6.0
Belarus,9-11 years,6.0
Belarus,> 20 years,2.0
Belgium,0-2 years,62.0
Belgium,12-14 years,20.0
Belgium,15-17 years,23.0
Belgium,18-20 years,8.0
Belgium,3-5 years,122.0
Belgium,6-8 years,38.0
Belgium,9-11 years,43.0
Belgium,> 20 years,21.0
Belize,0-2 years,1.0
Belize,3-5 years,1.0
Benin,3-5 years,1.0
Bermuda,> 20 years,1.0
Bhutan,0-2 years,1.0
Bolivia,0-2 years,2.0
Bolivia,12-14 years,1.0
Bolivia,3-5 years,8.0
Bolivia,6-8 years,5.0
Bolivia,9-11 years,5.0
Bosnia-Herzegovina,0-2 years,18.0
Bosnia-Herzegovina,15-17 years,2.0
Bosnia-Herzegovina,3-5 years,20.0
Bosnia-Herzegovina,6-8 years,6.0
Bosnia-Herzegovina,9-11 years,3.0
Bosnia-Herzegovina,> 20 years,1.0
Botswana,0-2 years,2.0
Botswana,6-8 years,1.0
Bouvet Island,6-8 years,1.0
Bouvet Island,> 20 years,1.0
Brazil,0-2 years,116.0
Brazil,12-14 years,40.0
Brazil,15-17 years,34.0
