,Country,Monthly_Sal_EUR,YearsCodePro
8939,Kazakhstan,8994.75,1
20679,Kazakhstan,299.825,6
26652,Kazakhstan,199.88333333333333,7
27574,Kazakhstan,8994.75,6
28232,Kazakhstan,14491.541666666666,7
36694,Kazakhstan,2298.6583333333333,6
45464,Kazakhstan,19188.8,1
