Country,LanguageWorkedWith,LanguageWorkedWithCount
Afghanistan,Assembly,6.0
Afghanistan,Bash/Shell,4.0
Afghanistan,C,7.0
Afghanistan,C#,6.0
Afghanistan,C++,9.0
Afghanistan,CSS,17.0
Afghanistan,Clojure,2.0
Afghanistan,Cobol,1.0
Afghanistan,CoffeeScript,3.0
Afghanistan,Delphi/Object Pascal,1.0
Afghanistan,Erlang,2.0
Afghanistan,F#,2.0
Afghanistan,Go,2.0
Afghanistan,Groovy,2.0
Afghanistan,HTML,17.0
Afghanistan,Hack,2.0
Afghanistan,Haskell,2.0
Afghanistan,Java,12.0
Afghanistan,JavaScript,12.0
Afghanistan,Julia,2.0
Afghanistan,Kotlin,2.0
Afghanistan,Lua,2.0
Afghanistan,Matlab,2.0
Afghanistan,Objective-C,1.0
Afghanistan,Ocaml,1.0
Afghanistan,PHP,10.0
Afghanistan,Perl,4.0
Afghanistan,Python,3.0
Afghanistan,R,1.0
Afghanistan,Ruby,2.0
Afghanistan,Rust,2.0
Afghanistan,SQL,11.0
Afghanistan,Scala,1.0
Afghanistan,Swift,3.0
Afghanistan,TypeScript,3.0
Afghanistan,VB.NET,3.0
Afghanistan,VBA,1.0
Afghanistan,Visual Basic 6,2.0
Albania,Assembly,7.0
Albania,Bash/Shell,8.0
Albania,C,10.0
Albania,C#,27.0
Albania,C++,16.0
Albania,CSS,41.0
Albania,Clojure,1.0
Albania,CoffeeScript,2.0
Albania,Delphi/Object Pascal,1.0
Albania,Erlang,1.0
Albania,Go,3.0
Albania,Groovy,1.0
Albania,HTML,43.0
Albania,Haskell,1.0
Albania,Java,29.0
Albania,JavaScript,44.0
Albania,Lua,1.0
Albania,Matlab,5.0
Albania,Objective-C,6.0
Albania,PHP,30.0
Albania,Perl,1.0
Albania,Python,19.0
Albania,Ruby,3.0
Albania,SQL,36.0
Albania,Swift,7.0
Albania,TypeScript,8.0
Albania,VB.NET,2.0
Albania,VBA,3.0
Albania,Visual Basic 6,1.0
Algeria,Assembly,13.0
Algeria,Bash/Shell,17.0
Algeria,C,29.0
Algeria,C#,18.0
Algeria,C++,25.0
Algeria,CSS,57.0
Algeria,Delphi/Object Pascal,21.0
Algeria,F#,1.0
Algeria,Go,2.0
Algeria,Groovy,1.0
Algeria,HTML,57.0
Algeria,Hack,1.0
Algeria,Java,44.0
Algeria,JavaScript,42.0
Algeria,Julia,1.0
Algeria,Kotlin,4.0
Algeria,Lua,1.0
Algeria,Matlab,12.0
Algeria,Ocaml,1.0
Algeria,PHP,34.0
Algeria,Perl,3.0
Algeria,Python,17.0
Algeria,R,2.0
Algeria,Ruby,2.0
Algeria,SQL,46.0
Algeria,Scala,1.0
Algeria,Swift,2.0
Algeria,TypeScript,5.0
Algeria,VB.NET,3.0
Algeria,VBA,6.0
Algeria,Visual Basic 6,3.0
Andorra,Assembly,2.0
Andorra,Bash/Shell,2.0
Andorra,C,1.0
Andorra,C#,1.0
Andorra,C++,3.0
Andorra,CSS,2.0
Andorra,Cobol,2.0
Andorra,CoffeeScript,1.0
Andorra,Delphi/Object Pascal,2.0
Andorra,HTML,4.0
Andorra,Java,1.0
Andorra,JavaScript,2.0
Andorra,Kotlin,1.0
Andorra,Matlab,1.0
Andorra,Objective-C,1.0
Andorra,Python,1.0
Andorra,R,1.0
Andorra,Ruby,2.0
Andorra,Rust,1.0
Andorra,SQL,3.0
Andorra,Scala,1.0
Andorra,Swift,3.0
Andorra,TypeScript,2.0
Andorra,VB.NET,1.0
Andorra,VBA,2.0
Andorra,Visual Basic 6,1.0
Angola,Assembly,1.0
Angola,C,1.0
Angola,C#,2.0
Angola,CSS,1.0
Angola,HTML,1.0
Angola,Java,3.0
Angola,PHP,3.0
Angola,SQL,2.0
Angola,Swift,1.0
Antigua and Barbuda,C#,1.0
Antigua and Barbuda,C++,1.0
Antigua and Barbuda,CSS,1.0
Antigua and Barbuda,Clojure,1.0
Antigua and Barbuda,CoffeeScript,1.0
Antigua and Barbuda,HTML,1.0
Antigua and Barbuda,JavaScript,1.0
Antigua and Barbuda,PHP,1.0
Argentina,Assembly,31.0
Argentina,Bash/Shell,177.0
Argentina,C,84.0
Argentina,C#,142.0
Argentina,C++,89.0
Argentina,CSS,323.0
Argentina,Clojure,6.0
Argentina,Cobol,4.0
Argentina,CoffeeScript,19.0
Argentina,Delphi/Object Pascal,18.0
Argentina,Erlang,8.0
Argentina,F#,5.0
Argentina,Go,16.0
Argentina,Groovy,25.0
Argentina,HTML,335.0
Argentina,Hack,1.0
Argentina,Haskell,19.0
Argentina,Java,204.0
Argentina,JavaScript,351.0
Argentina,Julia,1.0
Argentina,Kotlin,17.0
Argentina,Lua,11.0
Argentina,Matlab,14.0
Argentina,Objective-C,18.0
Argentina,Ocaml,1.0
Argentina,PHP,150.0
Argentina,Perl,11.0
Argentina,Python,151.0
Argentina,R,18.0
Argentina,Ruby,50.0
Argentina,Rust,6.0
Argentina,SQL,275.0
Argentina,Scala,19.0
Argentina,Swift,21.0
Argentina,TypeScript,75.0
Argentina,VB.NET,39.0
Argentina,VBA,20.0
Argentina,Visual Basic 6,39.0
Armenia,Assembly,6.0
Armenia,Bash/Shell,22.0
Armenia,C,9.0
Armenia,C#,12.0
Armenia,C++,19.0
Armenia,CSS,44.0
Armenia,Clojure,1.0
Armenia,Cobol,1.0
Armenia,CoffeeScript,2.0
Armenia,Delphi/Object Pascal,1.0
Armenia,Erlang,1.0
Armenia,F#,1.0
Armenia,Go,3.0
Armenia,Groovy,5.0
Armenia,HTML,46.0
Armenia,Hack,1.0
Armenia,Haskell,1.0
Armenia,Java,27.0
Armenia,JavaScript,47.0
Armenia,Julia,1.0
Armenia,Kotlin,1.0
Armenia,Lua,2.0
Armenia,Matlab,5.0
Armenia,Objective-C,7.0
Armenia,Ocaml,1.0
Armenia,PHP,24.0
Armenia,Perl,5.0
Armenia,Python,20.0
Armenia,R,5.0
Armenia,Ruby,5.0
Armenia,Rust,1.0
Armenia,SQL,40.0
Armenia,Scala,2.0
Armenia,Swift,8.0
Armenia,TypeScript,18.0
Armenia,VB.NET,2.0
Armenia,VBA,3.0
Armenia,Visual Basic 6,2.0
Australia,Assembly,79.0
Australia,Bash/Shell,740.0
Australia,C,306.0
Australia,C#,636.0
Australia,C++,315.0
Australia,CSS,1104.0
Australia,Clojure,26.0
Australia,Cobol,6.0
Australia,CoffeeScript,71.0
Australia,Delphi/Object Pascal,42.0
Australia,Erlang,17.0
Australia,F#,25.0
Australia,Go,128.0
Australia,Groovy,80.0
Australia,HTML,1138.0
Australia,Hack,6.0
Australia,Haskell,57.0
Australia,Java,537.0
Australia,JavaScript,1193.0
Australia,Julia,8.0
Australia,Kotlin,52.0
Australia,Lua,65.0
Australia,Matlab,76.0
Australia,Objective-C,139.0
Australia,Ocaml,6.0
Australia,PHP,428.0
Australia,Perl,85.0
Australia,Python,633.0
Australia,R,127.0
Australia,Ruby,223.0
Australia,Rust,63.0
Australia,SQL,963.0
Australia,Scala,70.0
Australia,Swift,157.0
Australia,TypeScript,347.0
Australia,VB.NET,116.0
Australia,VBA,99.0
Australia,Visual Basic 6,52.0
Austria,Assembly,47.0
Austria,Bash/Shell,281.0
Austria,C,178.0
Austria,C#,241.0
Austria,C++,179.0
Austria,CSS,409.0
Austria,Clojure,3.0
Austria,Cobol,6.0
Austria,CoffeeScript,14.0
Austria,Delphi/Object Pascal,20.0
Austria,Erlang,5.0
Austria,F#,16.0
Austria,Go,42.0
Austria,Groovy,30.0
Austria,HTML,425.0
Austria,Haskell,22.0
Austria,Java,326.0
Austria,JavaScript,422.0
Austria,Julia,3.0
Austria,Kotlin,40.0
Austria,Lua,26.0
Austria,Matlab,62.0
Austria,Objective-C,31.0
Austria,Ocaml,4.0
Austria,PHP,216.0
Austria,Perl,32.0
Austria,Python,225.0
Austria,R,55.0
Austria,Ruby,35.0
Austria,Rust,20.0
Austria,SQL,343.0
Austria,Scala,32.0
Austria,Swift,53.0
Austria,TypeScript,144.0
Austria,VB.NET,34.0
Austria,VBA,47.0
Austria,Visual Basic 6,23.0
Azerbaijan,Assembly,2.0
Azerbaijan,Bash/Shell,17.0
Azerbaijan,C,7.0
Azerbaijan,C#,21.0
Azerbaijan,C++,12.0
Azerbaijan,CSS,42.0
Azerbaijan,Delphi/Object Pascal,6.0
Azerbaijan,Go,1.0
Azerbaijan,Groovy,2.0
Azerbaijan,HTML,43.0
Azerbaijan,Java,27.0
Azerbaijan,JavaScript,36.0
Azerbaijan,Julia,1.0
Azerbaijan,Lua,1.0
Azerbaijan,Matlab,3.0
Azerbaijan,Objective-C,3.0
Azerbaijan,PHP,21.0
Azerbaijan,Perl,2.0
Azerbaijan,Python,15.0
Azerbaijan,R,2.0
Azerbaijan,Ruby,3.0
Azerbaijan,Rust,2.0
Azerbaijan,SQL,39.0
Azerbaijan,Scala,1.0
Azerbaijan,Swift,3.0
Azerbaijan,TypeScript,5.0
Azerbaijan,VB.NET,1.0
Azerbaijan,VBA,2.0
Azerbaijan,Visual Basic 6,2.0
Bahamas,Bash/Shell,2.0
Bahamas,C#,1.0
Bahamas,CSS,1.0
Bahamas,HTML,2.0
Bahamas,Java,1.0
Bahamas,JavaScript,1.0
Bahamas,Objective-C,1.0
Bahamas,PHP,2.0
Bahamas,R,1.0
Bahamas,SQL,2.0
Bahamas,Swift,1.0
Bahamas,TypeScript,1.0
Bahrain,Assembly,1.0
Bahrain,Bash/Shell,3.0
Bahrain,C,3.0
Bahrain,C#,7.0
Bahrain,C++,6.0
Bahrain,CSS,7.0
Bahrain,Cobol,1.0
Bahrain,HTML,8.0
Bahrain,Java,7.0
Bahrain,JavaScript,6.0
Bahrain,Objective-C,1.0
Bahrain,PHP,7.0
Bahrain,Python,2.0
Bahrain,SQL,9.0
Bahrain,Scala,1.0
Bahrain,Swift,2.0
Bahrain,VB.NET,2.0
Bahrain,VBA,2.0
Bahrain,Visual Basic 6,3.0
Bangladesh,Assembly,62.0
Bangladesh,Bash/Shell,109.0
Bangladesh,C,188.0
Bangladesh,C#,162.0
Bangladesh,C++,143.0
Bangladesh,CSS,359.0
Bangladesh,Clojure,2.0
Bangladesh,Cobol,1.0
Bangladesh,CoffeeScript,8.0
Bangladesh,Delphi/Object Pascal,4.0
Bangladesh,Erlang,3.0
Bangladesh,F#,3.0
Bangladesh,Go,16.0
Bangladesh,Groovy,9.0
Bangladesh,HTML,375.0
Bangladesh,Hack,4.0
Bangladesh,Haskell,3.0
Bangladesh,Java,250.0
Bangladesh,JavaScript,351.0
Bangladesh,Julia,2.0
Bangladesh,Kotlin,18.0
Bangladesh,Lua,11.0
Bangladesh,Matlab,33.0
Bangladesh,Objective-C,34.0
Bangladesh,Ocaml,2.0
Bangladesh,PHP,286.0
Bangladesh,Perl,11.0
Bangladesh,Python,151.0
Bangladesh,R,13.0
Bangladesh,Ruby,20.0
Bangladesh,Rust,3.0
Bangladesh,SQL,297.0
Bangladesh,Scala,4.0
Bangladesh,Swift,44.0
Bangladesh,TypeScript,49.0
Bangladesh,VB.NET,26.0
Bangladesh,VBA,6.0
Bangladesh,Visual Basic 6,25.0
Barbados,C#,1.0
Barbados,C++,1.0
Barbados,CSS,2.0
Barbados,HTML,2.0
Barbados,Java,2.0
Barbados,JavaScript,3.0
Barbados,PHP,1.0
Barbados,SQL,2.0
Barbados,TypeScript,2.0
Belarus,Assembly,13.0
Belarus,Bash/Shell,60.0
Belarus,C,31.0
Belarus,C#,75.0
Belarus,C++,44.0
Belarus,CSS,118.0
Belarus,Clojure,2.0
Belarus,CoffeeScript,10.0
Belarus,Delphi/Object Pascal,11.0
Belarus,Erlang,2.0
Belarus,F#,6.0
Belarus,Go,10.0
Belarus,Groovy,13.0
Belarus,HTML,128.0
Belarus,Haskell,6.0
Belarus,Java,97.0
Belarus,JavaScript,136.0
Belarus,Kotlin,13.0
Belarus,Lua,7.0
Belarus,Matlab,10.0
Belarus,Objective-C,10.0
Belarus,Ocaml,1.0
Belarus,PHP,42.0
Belarus,Python,57.0
Belarus,R,8.0
Belarus,Ruby,14.0
Belarus,Rust,5.0
Belarus,SQL,110.0
Belarus,Scala,10.0
Belarus,Swift,14.0
Belarus,TypeScript,40.0
Belarus,VB.NET,7.0
Belarus,VBA,7.0
Belarus,Visual Basic 6,2.0
Belgium,Assembly,47.0
Belgium,Bash/Shell,256.0
Belgium,C,120.0
Belgium,C#,242.0
Belgium,C++,126.0
Belgium,CSS,404.0
Belgium,Clojure,5.0
Belgium,Cobol,13.0
Belgium,CoffeeScript,21.0
Belgium,Delphi/Object Pascal,22.0
Belgium,Erlang,9.0
Belgium,F#,10.0
Belgium,Go,38.0
Belgium,Groovy,32.0
Belgium,HTML,427.0
Belgium,Hack,1.0
Belgium,Haskell,25.0
Belgium,Java,274.0
Belgium,JavaScript,425.0
Belgium,Julia,2.0
Belgium,Kotlin,25.0
Belgium,Lua,24.0
Belgium,Matlab,40.0
Belgium,Objective-C,26.0
Belgium,Ocaml,3.0
Belgium,PHP,202.0
Belgium,Perl,16.0
Belgium,Python,204.0
Belgium,R,43.0
Belgium,Ruby,37.0
Belgium,Rust,23.0
Belgium,SQL,370.0
Belgium,Scala,27.0
Belgium,Swift,36.0
Belgium,TypeScript,154.0
Belgium,VB.NET,52.0
Belgium,VBA,34.0
Belgium,Visual Basic 6,27.0
Belize,C#,1.0
Belize,C++,1.0
Belize,CSS,1.0
Belize,HTML,1.0
Belize,JavaScript,1.0
Belize,TypeScript,1.0
Benin,Assembly,2.0
Benin,Bash/Shell,2.0
Benin,C,5.0
Benin,C#,1.0
Benin,C++,2.0
Benin,CSS,6.0
Benin,Go,1.0
Benin,HTML,6.0
Benin,Java,4.0
Benin,JavaScript,6.0
Benin,Kotlin,2.0
Benin,Matlab,1.0
Benin,PHP,6.0
Benin,Python,3.0
Benin,SQL,5.0
Benin,Swift,2.0
Benin,TypeScript,4.0
Benin,VB.NET,1.0
Benin,Visual Basic 6,2.0
Bhutan,C,1.0
Bhutan,CSS,2.0
Bhutan,HTML,3.0
Bhutan,Java,2.0
Bhutan,JavaScript,1.0
Bhutan,PHP,3.0
Bhutan,Ruby,1.0
Bhutan,SQL,3.0
Bhutan,Visual Basic 6,1.0
Bolivia,Bash/Shell,8.0
Bolivia,C,2.0
Bolivia,C#,13.0
Bolivia,C++,6.0
Bolivia,CSS,18.0
Bolivia,CoffeeScript,1.0
Bolivia,Delphi/Object Pascal,2.0
Bolivia,Go,1.0
Bolivia,Groovy,1.0
Bolivia,HTML,20.0
Bolivia,Haskell,3.0
Bolivia,Java,17.0
Bolivia,JavaScript,19.0
Bolivia,Kotlin,2.0
