Afghanistan,Albania,Argentina,Armenia,Australia,Austria,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Bolivia,Botswana,Brazil,Bulgaria,Cambodia,Canada,Chile,China,Colombia,Costa Rica,Croatia,Cuba,Cyprus,Czech Republic,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Finland,France,Georgia,Germany,Ghana,Greece,Guatemala,Honduras,Hungary,India,Indonesia,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kuwait,Kyrgyzstan,Latvia,Lebanon,Lithuania,Luxembourg,Madagascar,Malaysia,Malta,Mauritius,Mexico,Montenegro,Morocco,Myanmar,Nepal,Netherlands,New Zealand,Nicaragua,Nigeria,Norway,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Romania,Russian Federation,Serbia,Singapore,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,Uruguay,Uzbekistan,Yemen,Zimbabwe
9.0,2.875,8.05,4.166666666666667,8.9581589958159,6.015625,11.0,6.222222222222222,14.0,4.642857142857143,6.044444444444444,2.0,1.0,6.726027397260274,5.0,2.0,7.541533546325879,3.8,4.2,6.133333333333334,4.285714285714286,4.636363636363637,4.0,7.4,3.111111111111111,8.294117647058824,7.857142857142857,4.857142857142857,5.5,4.0,7.869565217391305,8.061728395061728,6.175438596491228,3.75,7.041322314049586,6.0,6.636363636363637,6.0,6.0,8.294117647058824,2.8783783783783785,6.125,8.188235294117646,6.409090909090909,7.90625,2.0,3.6,7.0,2.0,15.0,14.0,6.928571428571429,4.545454545454546,5.071428571428571,4.875,3.0,4.545454545454546,5.0,4.0,4.871794871794871,3.5,3.5,5.333333333333333,2.3333333333333335,7.839805825242719,10.4,7.0,4.0,10.0,3.1153846153846154,5.428571428571429,5.666666666666667,6.666666666666667,10.5,4.5344827586206895,6.318181818181818,5.763888888888889,6.140350877192983,4.863636363636363,5.3076923076923075,7.067415730337078,4.125,9.666666666666666,6.835249042145594,2.125,6.481481481481482,7.493055555555555,1.5,5.6,16.0,3.0,6.666666666666667,5.0,6.641025641025641,5.333333333333333,9.3,7.0,3.0,1.0
1.5,2.1818181818181817,6.405693950177936,4.166666666666667,8.615598885793872,6.828418230563003,7.5,2.9158878504672896,1.5,4.475,5.6770538243626065,4.5,12.0,5.932267168391345,5.382352941176471,3.25,7.420794774088187,5.379310344827586,3.611764705882353,4.264044943820225,7.166666666666667,5.257142857142857,4.833333333333333,6.0,5.687323943661972,6.863501483679525,3.9767441860465116,6.375,3.0762711864406778,4.571428571428571,6.494845360824742,7.317073170731708,5.585106382978723,3.3157894736842106,6.156564019448947,2.5714285714285716,6.308411214953271,7.615384615384615,7.8,6.28169014084507,3.022269353128314,2.9329608938547485,7.351145038167939,7.510688836104513,7.698907956318252,1.0,6.277777777777778,5.25,3.5217391304347827,4.0,1.5,4.92,3.324324324324324,5.536585365853658,4.071428571428571,2.5714285714285716,4.2682926829268295,4.363636363636363,5.4,5.240853658536586,4.8,1.9411764705882353,7.8,1.8857142857142857,6.88293216630197,8.036496350364963,6.857142857142857,2.2016129032258065,7.745819397993311,2.572674418604651,8.2,6.5625,4.5,3.2708333333333335,4.3929747530186605,5.096525096525096,5.486238532110092,4.8254237288135595,4.78,4.511278195488722,7.339805825242719,6.883928571428571,5.571428571428571,6.491349480968858,2.914285714285714,7.261682242990654,6.498,3.65625,5.428571428571429,6.0,2.1724137931034484,5.950549450549451,3.6315789473684212,3.7905882352941176,6.056603773584905,7.0,3.0,2.5,2.076923076923077
3.4,4.088888888888889,7.917355371900826,4.416666666666667,10.346089850249584,7.9463220675944335,6.1,4.645161290322581,5.0,6.056910569105691,7.140388768898488,6.5,3.0,8.071533923303836,6.6725,8.75,9.0242673992674,8.909090909090908,4.487684729064039,7.666666666666667,10.04,6.044871794871795,7.222222222222222,6.0,7.4707207207207205,8.79585798816568,6.14,8.545454545454545,4.626760563380282,6.6521739130434785,7.507042253521127,8.414698162729659,7.323797930614729,5.382978723404255,8.011683483802443,5.0606060606060606,7.197368421052632,8.166666666666666,5.923076923076923,5.8,4.109850746268656,5.076923076923077,9.281524926686217,8.50374531835206,9.133474576271187,8.428571428571429,6.409090909090909,6.242424242424242,3.076923076923077,7.625,6.2727272727272725,6.86734693877551,4.829268292682927,6.407407407407407,11.090909090909092,7.0,5.659259259259259,7.045454545454546,5.071428571428571,6.408983451536643,3.5555555555555554,4.609756097560975,9.333333333333334,3.3766233766233764,8.497061293031066,9.518518518518519,7.809523809523809,2.564814814814815,8.72,4.207349081364829,10.043478260869565,9.9,7.185185185185185,5.25,5.786212238574748,7.251412429378531,6.666666666666667,6.14190687361419,6.377906976744186,6.6,8.497560975609757,8.064516129032258,3.25,7.942114093959732,4.140740740740741,9.207692307692307,8.558641975308642,5.107142857142857,7.444444444444445,9.625,4.481481481481482,6.301848049281314,2.5,6.359022556390977,7.1645569620253164,7.619047619047619,7.7272727272727275,4.0,4.266666666666667
6.421052631578948,5.125,9.401869158878505,4.5,11.050135501355014,8.471153846153847,9.5,3.988095238095238,7.0,7.173333333333333,8.359375,6.333333333333333,6.0,7.822222222222222,7.829545454545454,3.2,9.302961275626423,9.272727272727273,5.012345679012346,9.818181818181818,7.684210526315789,8.214285714285714,6.2,7.0,8.53405017921147,9.311224489795919,5.333333333333333,8.615384615384615,4.809523809523809,8.75,7.5,10.008888888888889,7.867264573991031,5.470588235294118,8.565502183406114,5.074074074074074,8.21,7.454545454545454,8.272727272727273,7.633333333333334,4.163575042158516,4.666666666666667,8.380281690140846,9.178807947019868,9.91981845688351,2.6666666666666665,6.869565217391305,5.36,4.857142857142857,7.0,3.909090909090909,6.847222222222222,5.454545454545454,6.526315789473684,10.090909090909092,6.333333333333333,4.88659793814433,8.166666666666666,5.142857142857143,6.631386861313868,7.0,4.151515151515151,4.0,3.5142857142857142,9.645522388059701,10.830769230769231,7.363636363636363,3.6435643564356437,7.911764705882353,3.8442906574394464,4.714285714285714,10.5,4.9423076923076925,4.273504273504273,6.359007832898173,8.282157676348548,7.470394736842105,7.454545454545454,7.491071428571429,6.704761904761905,8.783505154639176,8.152838427947598,8.0,8.660079051383399,3.4819277108433737,9.922619047619047,9.349431818181818,5.861111111111111,7.738095238095238,6.142857142857143,4.275862068965517,6.776566757493188,2.8,7.136518771331058,6.615384615384615,9.457627118644067,6.0,15.0,4.181818181818182
10.625,3.5384615384615383,8.688311688311689,6.0,11.391647855530474,9.022321428571429,15.75,4.085201793721973,5.833333333333333,7.291666666666667,9.273584905660377,8.78125,1.6666666666666667,8.039630118890356,7.791164658634538,5.5,9.7711503347535,11.08,5.525821596244131,8.466666666666667,10.030303030303031,8.895833333333334,8.28,7.482758620689655,8.985330073349633,9.816816816816816,5.833333333333333,7.359375,4.972972972972973,5.190476190476191,8.057471264367816,10.133507853403142,8.62367601246106,6.045977011494253,9.330423940149625,4.3428571428571425,7.285714285714286,8.054054054054054,4.266666666666667,8.75609756097561,4.569709837225761,6.818181818181818,10.555555555555555,9.59375,10.297385620915033,2.25,10.921052631578947,6.966666666666667,3.9,9.461538461538462,4.0,9.459016393442623,4.84,6.992481203007519,11.379310344827585,2.0,5.8389261744966445,7.814814814814815,8.0,7.335766423357664,11.0,4.39344262295082,5.0,4.191011235955056,10.27342256214149,12.375,7.222222222222222,4.033333333333333,8.58,3.640378548895899,9.291666666666666,8.875,6.48936170212766,6.361290322580645,6.773496240601504,8.274760383386582,7.186046511627907,6.850088183421517,7.848,6.742857142857143,9.326797385620916,9.501706484641637,8.571428571428571,9.666991236611489,3.9572649572649574,10.301542776998598,10.14519056261343,6.063157894736842,7.072463768115942,10.909090909090908,3.9298245614035086,6.875,5.714285714285714,7.303571428571429,8.24390243902439,8.754901960784315,3.0,2.0,3.8461538461538463
