Country,YearsCodePro,YearsCodeProCount
Afghanistan,0-2 years,12.0
Afghanistan,3-5 years,11.0
Afghanistan,6-8 years,3.0
Afghanistan,9-11 years,1.0
Afghanistan,> 20 years,7.0
Albania,0-2 years,9.0
Albania,12-14 years,2.0
Albania,18-20 years,2.0
Albania,3-5 years,14.0
Albania,6-8 years,4.0
Albania,9-11 years,3.0
Algeria,0-2 years,13.0
Algeria,12-14 years,1.0
Algeria,15-17 years,3.0
Algeria,18-20 years,1.0
Algeria,3-5 years,14.0
Algeria,6-8 years,5.0
Andorra,0-2 years,1.0
Andorra,15-17 years,1.0
Andorra,18-20 years,2.0
Andorra,> 20 years,2.0
Angola,0-2 years,1.0
Angola,18-20 years,1.0
Angola,3-5 years,2.0
Argentina,0-2 years,62.0
Argentina,12-14 years,22.0
Argentina,15-17 years,30.0
Argentina,18-20 years,25.0
Argentina,3-5 years,73.0
Argentina,6-8 years,46.0
Argentina,9-11 years,17.0
Argentina,> 20 years,29.0
Armenia,0-2 years,9.0
Armenia,12-14 years,4.0
Armenia,15-17 years,1.0
Armenia,3-5 years,17.0
Armenia,6-8 years,10.0
Armenia,9-11 years,6.0
Australia,0-2 years,127.0
Australia,12-14 years,102.0
Australia,15-17 years,90.0
Australia,18-20 years,91.0
Australia,3-5 years,198.0
Australia,6-8 years,114.0
Australia,9-11 years,117.0
Australia,> 20 years,147.0
Austria,0-2 years,86.0
Austria,12-14 years,25.0
Austria,15-17 years,25.0
Austria,18-20 years,32.0
Austria,3-5 years,104.0
Austria,6-8 years,61.0
Austria,9-11 years,40.0
Austria,> 20 years,31.0
Azerbaijan,0-2 years,9.0
Azerbaijan,12-14 years,1.0
Azerbaijan,3-5 years,13.0
Azerbaijan,6-8 years,1.0
Azerbaijan,9-11 years,3.0
Azerbaijan,> 20 years,2.0
Bahamas,0-2 years,1.0
Bahamas,9-11 years,1.0
Bahrain,0-2 years,1.0
Bahrain,12-14 years,1.0
Bahrain,15-17 years,1.0
Bahrain,18-20 years,1.0
Bahrain,6-8 years,4.0
Bangladesh,0-2 years,125.0
Bangladesh,12-14 years,12.0
Bangladesh,15-17 years,1.0
Bangladesh,18-20 years,1.0
Bangladesh,3-5 years,117.0
Bangladesh,6-8 years,45.0
Bangladesh,9-11 years,11.0
Bangladesh,> 20 years,1.0
Barbados,0-2 years,1.0
Barbados,12-14 years,1.0
Barbados,15-17 years,1.0
Belarus,0-2 years,23.0
Belarus,12-14 years,6.0
Belarus,15-17 years,8.0
Belarus,18-20 years,3.0
Belarus,3-5 years,29.0
Belarus,6-8 years,18.0
Belarus,9-11 years,11.0
Belarus,> 20 years,3.0
Belgium,0-2 years,72.0
Belgium,12-14 years,24.0
Belgium,15-17 years,29.0
Belgium,18-20 years,19.0
Belgium,3-5 years,89.0
Belgium,6-8 years,67.0
Belgium,9-11 years,34.0
Belgium,> 20 years,31.0
Belize,9-11 years,1.0
Benin,18-20 years,1.0
Benin,3-5 years,2.0
Benin,6-8 years,1.0
Bhutan,0-2 years,4.0
Bhutan,9-11 years,1.0
Bhutan,> 20 years,1.0
Bolivia,0-2 years,6.0
Bolivia,12-14 years,2.0
Bolivia,15-17 years,1.0
Bolivia,3-5 years,11.0
Bolivia,6-8 years,7.0
Bolivia,9-11 years,4.0
Bolivia,> 20 years,1.0
Bosnia and Herzegovina,0-2 years,18.0
Bosnia and Herzegovina,12-14 years,2.0
Bosnia and Herzegovina,15-17 years,2.0
Bosnia and Herzegovina,18-20 years,1.0
Bosnia and Herzegovina,3-5 years,18.0
Bosnia and Herzegovina,6-8 years,13.0
Bosnia and Herzegovina,9-11 years,6.0
Bosnia and Herzegovina,> 20 years,1.0
Botswana,3-5 years,3.0
Botswana,9-11 years,2.0
Brazil,0-2 years,303.0
Brazil,12-14 years,114.0
Brazil,15-17 years,71.0
Brazil,18-20 years,75.0
Brazil,3-5 years,366.0
Brazil,6-8 years,201.0
Brazil,9-11 years,172.0
Brazil,> 20 years,72.0
Brunei Darussalam,0-2 years,1.0
Brunei Darussalam,3-5 years,1.0
Bulgaria,0-2 years,50.0
Bulgaria,12-14 years,26.0
Bulgaria,15-17 years,17.0
Bulgaria,18-20 years,10.0
Bulgaria,3-5 years,54.0
Bulgaria,6-8 years,53.0
Bulgaria,9-11 years,29.0
Bulgaria,> 20 years,10.0
Burkina Faso,18-20 years,1.0
Cambodia,0-2 years,7.0
Cambodia,18-20 years,1.0
Cambodia,3-5 years,2.0
Cambodia,6-8 years,3.0
Cambodia,> 20 years,1.0
Cameroon,0-2 years,8.0
Cameroon,3-5 years,7.0
Cameroon,6-8 years,3.0
Cameroon,9-11 years,1.0
Canada,0-2 years,298.0
Canada,12-14 years,128.0
Canada,15-17 years,105.0
Canada,18-20 years,101.0
Canada,3-5 years,378.0
Canada,6-8 years,241.0
Canada,9-11 years,185.0
Canada,> 20 years,187.0
Cape Verde,0-2 years,2.0
Chad,0-2 years,1.0
Chile,0-2 years,31.0
Chile,12-14 years,4.0
Chile,15-17 years,6.0
Chile,18-20 years,3.0
Chile,3-5 years,36.0
Chile,6-8 years,22.0
Chile,9-11 years,17.0
Chile,> 20 years,14.0
China,0-2 years,33.0
China,12-14 years,7.0
China,15-17 years,7.0
China,18-20 years,4.0
China,3-5 years,53.0
China,6-8 years,32.0
China,9-11 years,24.0
China,> 20 years,2.0
Colombia,0-2 years,38.0
Colombia,12-14 years,12.0
Colombia,15-17 years,10.0
Colombia,18-20 years,4.0
Colombia,3-5 years,58.0
Colombia,6-8 years,45.0
Colombia,9-11 years,23.0
Colombia,> 20 years,11.0
"Congo, Republic of the...",0-2 years,1.0
"Congo, Republic of the...",3-5 years,2.0
Costa Rica,0-2 years,14.0
Costa Rica,12-14 years,2.0
Costa Rica,15-17 years,3.0
Costa Rica,18-20 years,5.0
Costa Rica,3-5 years,13.0
Costa Rica,6-8 years,9.0
Costa Rica,9-11 years,4.0
Costa Rica,> 20 years,1.0
Croatia,0-2 years,29.0
Croatia,12-14 years,8.0
Croatia,15-17 years,3.0
Croatia,18-20 years,10.0
Croatia,3-5 years,39.0
Croatia,6-8 years,25.0
Croatia,9-11 years,16.0
Croatia,> 20 years,10.0
Cuba,0-2 years,2.0
Cuba,12-14 years,1.0
Cuba,15-17 years,2.0
Cuba,3-5 years,9.0
Cuba,6-8 years,2.0
Cuba,9-11 years,2.0
Cyprus,0-2 years,6.0
Cyprus,12-14 years,4.0
Cyprus,15-17 years,3.0
Cyprus,18-20 years,1.0
Cyprus,3-5 years,6.0
Cyprus,6-8 years,12.0
Cyprus,9-11 years,8.0
Cyprus,> 20 years,1.0
Czech Republic,0-2 years,48.0
Czech Republic,12-14 years,40.0
Czech Republic,15-17 years,29.0
Czech Republic,18-20 years,24.0
Czech Republic,3-5 years,101.0
Czech Republic,6-8 years,61.0
Czech Republic,9-11 years,58.0
Czech Republic,> 20 years,18.0
C̫te d'Ivoire,0-2 years,2.0
C̫te d'Ivoire,3-5 years,3.0
C̫te d'Ivoire,6-8 years,2.0
Democratic Republic of the Congo,3-5 years,3.0
Democratic Republic of the Congo,6-8 years,1.0
Democratic Republic of the Congo,9-11 years,1.0
Denmark,0-2 years,42.0
Denmark,12-14 years,20.0
Denmark,15-17 years,19.0
Denmark,18-20 years,19.0
Denmark,3-5 years,82.0
Denmark,6-8 years,57.0
Denmark,9-11 years,24.0
Denmark,> 20 years,44.0
Djibouti,0-2 years,1.0
Djibouti,12-14 years,1.0
Dominican Republic,0-2 years,12.0
Dominican Republic,12-14 years,2.0
Dominican Republic,15-17 years,2.0
Dominican Republic,3-5 years,27.0
Dominican Republic,6-8 years,9.0
Dominican Republic,9-11 years,7.0
Ecuador,0-2 years,4.0
Ecuador,12-14 years,4.0
Ecuador,15-17 years,3.0
Ecuador,18-20 years,3.0
Ecuador,3-5 years,11.0
Ecuador,6-8 years,3.0
Ecuador,9-11 years,5.0
Ecuador,> 20 years,2.0
Egypt,0-2 years,53.0
Egypt,12-14 years,7.0
Egypt,15-17 years,2.0
Egypt,18-20 years,5.0
Egypt,3-5 years,48.0
Egypt,6-8 years,16.0
Egypt,9-11 years,7.0
El Salvador,0-2 years,2.0
El Salvador,12-14 years,2.0
El Salvador,15-17 years,1.0
El Salvador,3-5 years,5.0
El Salvador,6-8 years,5.0
El Salvador,9-11 years,4.0
El Salvador,> 20 years,1.0
Estonia,0-2 years,26.0
Estonia,12-14 years,8.0
Estonia,15-17 years,9.0
Estonia,18-20 years,8.0
Estonia,3-5 years,32.0
Estonia,6-8 years,26.0
Estonia,9-11 years,14.0
Estonia,> 20 years,2.0
Ethiopia,0-2 years,16.0
Ethiopia,12-14 years,1.0
Ethiopia,3-5 years,5.0
Ethiopia,6-8 years,2.0
Ethiopia,9-11 years,1.0
Ethiopia,> 20 years,1.0
Fiji,0-2 years,1.0
Finland,0-2 years,42.0
Finland,12-14 years,22.0
Finland,15-17 years,23.0
Finland,18-20 years,21.0
Finland,3-5 years,56.0
Finland,6-8 years,46.0
Finland,9-11 years,39.0
Finland,> 20 years,33.0
France,0-2 years,289.0
France,12-14 years,111.0
France,15-17 years,78.0
France,18-20 years,60.0
France,3-5 years,414.0
France,6-8 years,204.0
France,9-11 years,158.0
France,> 20 years,102.0
Gambia,0-2 years,1.0
Georgia,0-2 years,15.0
Georgia,12-14 years,2.0
Georgia,15-17 years,1.0
Georgia,18-20 years,1.0
Georgia,3-5 years,11.0
Georgia,6-8 years,9.0
Georgia,9-11 years,5.0
Germany,0-2 years,432.0
Germany,12-14 years,232.0
Germany,15-17 years,192.0
Germany,18-20 years,168.0
Germany,3-5 years,779.0
Germany,6-8 years,537.0
Germany,9-11 years,389.0
Germany,> 20 years,203.0
Ghana,0-2 years,11.0
Ghana,12-14 years,1.0
Ghana,3-5 years,18.0
Ghana,6-8 years,9.0
Ghana,9-11 years,3.0
Greece,0-2 years,58.0
Greece,12-14 years,16.0
Greece,15-17 years,17.0
Greece,18-20 years,22.0
Greece,3-5 years,75.0
Greece,6-8 years,39.0
Greece,9-11 years,30.0
Greece,> 20 years,21.0
Grenada,3-5 years,1.0
Guatemala,0-2 years,8.0
Guatemala,12-14 years,4.0
Guatemala,15-17 years,1.0
Guatemala,18-20 years,1.0
Guatemala,3-5 years,12.0
Guatemala,6-8 years,4.0
Guatemala,9-11 years,4.0
Guatemala,> 20 years,4.0
Guinea,0-2 years,2.0
Guyana,0-2 years,2.0
Guyana,6-8 years,1.0
Haiti,0-2 years,3.0
Haiti,3-5 years,1.0
Honduras,0-2 years,2.0
Honduras,12-14 years,1.0
Honduras,18-20 years,1.0
